step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9734, time 45294.46ms, mfu -100.00%
iter 10: loss 10.4047, time 3966.41ms, mfu 47.71%
iter 20: loss 9.7820, time 4010.10ms, mfu 47.66%
iter 30: loss 9.4451, time 4028.24ms, mfu 47.59%
iter 40: loss 9.4933, time 4033.12ms, mfu 47.53%
iter 50: loss 9.0483, time 4023.04ms, mfu 47.48%
iter 60: loss 8.7039, time 4029.16ms, mfu 47.43%
iter 70: loss 8.6577, time 4021.68ms, mfu 47.39%
iter 80: loss 8.3634, time 4027.61ms, mfu 47.35%
iter 90: loss 8.2945, time 4023.05ms, mfu 47.32%
iter 100: loss 8.0122, time 4022.25ms, mfu 47.29%
iter 110: loss 7.6320, time 4021.90ms, mfu 47.27%
iter 120: loss 7.6133, time 4018.06ms, mfu 47.25%
iter 130: loss 7.3935, time 4030.60ms, mfu 47.22%
iter 140: loss 7.3215, time 4022.02ms, mfu 47.21%
iter 150: loss 7.0346, time 4019.87ms, mfu 47.19%
iter 160: loss 7.0620, time 4023.98ms, mfu 47.18%
iter 170: loss 6.8516, time 4024.05ms, mfu 47.16%
iter 180: loss 6.7255, time 4024.93ms, mfu 47.15%
iter 190: loss 6.7448, time 4022.87ms, mfu 47.14%
iter 200: loss 6.6049, time 4025.09ms, mfu 47.13%
iter 210: loss 6.4031, time 4022.53ms, mfu 47.12%
iter 220: loss 6.5677, time 4025.17ms, mfu 47.11%
iter 230: loss 6.3096, time 4027.59ms, mfu 47.10%
iter 240: loss 6.3593, time 4032.27ms, mfu 47.08%
iter 250: loss 6.2699, time 4023.83ms, mfu 47.07%
iter 260: loss 6.2468, time 4026.51ms, mfu 47.07%
iter 270: loss 6.1654, time 4028.73ms, mfu 47.06%
iter 280: loss 6.4768, time 4023.92ms, mfu 47.06%
iter 290: loss 6.3363, time 4025.80ms, mfu 47.05%
iter 300: loss 6.1289, time 4028.34ms, mfu 47.04%
iter 310: loss 6.0641, time 4022.98ms, mfu 47.04%
iter 320: loss 6.1759, time 4028.77ms, mfu 47.04%
iter 330: loss 6.1290, time 4033.48ms, mfu 47.03%
iter 340: loss 6.1637, time 4030.53ms, mfu 47.02%
iter 350: loss 5.9440, time 4029.99ms, mfu 47.01%
iter 360: loss 5.8021, time 4037.80ms, mfu 47.00%
iter 370: loss 6.0447, time 4022.11ms, mfu 47.00%
iter 380: loss 6.1405, time 4034.57ms, mfu 46.99%
iter 390: loss 5.9769, time 4036.33ms, mfu 46.98%
iter 400: loss 5.8954, time 4041.79ms, mfu 46.97%
iter 410: loss 5.8076, time 4022.16ms, mfu 46.98%
iter 420: loss 5.7518, time 4036.77ms, mfu 46.97%
iter 430: loss 5.7157, time 4048.17ms, mfu 46.94%
iter 440: loss 5.8001, time 4028.23ms, mfu 46.95%
iter 450: loss 5.7279, time 4029.55ms, mfu 46.95%
iter 460: loss 5.5608, time 4031.47ms, mfu 46.95%
iter 470: loss 5.6519, time 4032.86ms, mfu 46.95%
iter 480: loss 5.7338, time 4030.94ms, mfu 46.95%
iter 490: loss 5.8526, time 4026.15ms, mfu 46.95%
iter 500: loss 5.3564, time 4034.35ms, mfu 46.95%
